Date	Pay Date	Ex-Div Date	Amount	Type	Nature	Ref. Year	Currency	Identifier	Comment	All-In (%)
19/12/2017	19/12/2017	19/12/2017	2,30	In Cash	Dividend (01)		EUR	71046219	FP FP	90,6458
11/01/2018	11/01/2018	11/01/2018	1,19	In Cash	Dividend (01)		EUR	71046220	IBE SM	89,1266
22/01/2018	22/01/2018	22/01/2018	1,20	In Cash	Dividend (01)		EUR	71046221	ENEL IM	87,5000
30/01/2018	30/01/2018	30/01/2018	1,42	In Cash	Dividend (01)		EUR	71046222	SAN SM	89,4375
01/02/2018	01/02/2018	01/02/2018	4,61	In Cash	Dividend (01)		EUR	71046223	SIE GY	86,4375
15/02/2018	15/02/2018	15/02/2018	0,83	In Cash	Dividend (01)		EUR	71046224	UNA NA	87,2500
08/03/2018	08/03/2018	08/03/2018	0,60	In Cash	Dividend (01)		EUR	71046265	CRH ID	100,0000
19/03/2018	19/03/2018	19/03/2018	2,29	In Cash	Dividend (01)		EUR	71046266	FP FP	86,0000
27/03/2018	27/03/2018	27/03/2018	0,60	In Cash	Dividend (01)		EUR	71046267	UL NA	92,0000
27/03/2018	27/03/2018	27/03/2018	0,18	In Cash	Dividend (01)		EUR	71046268	UL NA	92,0000
06/04/2018	06/04/2018	06/04/2018	1,46	In Cash	Dividend (01)		EUR	71046270	BBVA SM	97,2500
06/04/2018	06/04/2018	06/04/2018	5,31	In Cash	Dividend (01)		EUR	71046269	DAI GY	97,2500
13/04/2018	13/04/2018	13/04/2018	1,09	In Cash	Dividend (01)		EUR	71046271	AD NA	89,1250
16/04/2018	16/04/2018	16/04/2018	1,25	In Cash	Dividend (01)		EUR	71046272	AIR FP	88,6250
17/04/2018	17/04/2018	17/04/2018	1,34	In Cash	Dividend (01)		EUR	71046273	MC FP	88,0000
20/04/2018	20/04/2018	20/04/2018	0,68	In Cash	Dividend (01)		EUR	71046274	VIV FP	92,5000
24/04/2018	24/04/2018	24/04/2018	1,43	In Cash	Dividend (01)		EUR	71046275	DG FP	89,2500
25/04/2018	25/04/2018	25/04/2018	1,64	In Cash	Dividend (01)		EUR	71046277	DPW GY	92,5000
25/04/2018	25/04/2018	25/04/2018	1,27	In Cash	Dividend (01)		EUR	71046278	OR FP	92,5000
25/04/2018	25/04/2018	25/04/2018	2,44	In Cash	Dividend (01)		EUR	71046276	INGA NA	92,5000
26/04/2018	26/04/2018	26/04/2018	0,49	In Cash	Dividend (01)		EUR	71046279	EL FP	91,0000
26/04/2018	26/04/2018	26/04/2018	1,95	In Cash	Dividend (01)		EUR	71046280	MUV2 GY	91,0000
27/04/2018	27/04/2018	27/04/2018	1,41	In Cash	Dividend (01)		EUR	71046282	SAN SM	91,0000
27/04/2018	27/04/2018	27/04/2018	0,88	In Cash	Dividend (01)		EUR	71046281	ASML NA	91,0000
27/04/2018	27/04/2018	27/04/2018	0,61	In Cash	Dividend (01)		EUR	71046283	ITX SM	91,0000
30/04/2018	30/04/2018	30/04/2018	2,16	In Cash	Dividend (01)		EUR	71046284	ABI BB	86,2500
02/05/2018	02/05/2018	02/05/2018	0,15	In Cash	Dividend (01)		EUR	71046285	SU FP	90,5146
02/05/2018	02/05/2018	02/05/2018	1,64	In Cash	Dividend (01)		EUR	71046286	SU FP	90,5146
03/05/2018	03/05/2018	03/05/2018	3,83	In Cash	Dividend (01)		EUR	71046287	CS FP	92,6250
03/05/2018	03/05/2018	03/05/2018	0,88	In Cash	Dividend (01)		EUR	71046288	UNA NA	92,6250
04/05/2018	04/05/2018	04/05/2018	1,06	In Cash	Dividend (01)		EUR	71046290	VOW3 GY	91,0000
04/05/2018	04/05/2018	04/05/2018	1,76	In Cash	Dividend (01)		EUR	71046289	BN FP	91,0000
07/05/2018	07/05/2018	07/05/2018	1,10	In Cash	Dividend (01)		EUR	71046291	PHIA NA	91,0000
07/05/2018	07/05/2018	07/05/2018	4,15	In Cash	Dividend (01)		EUR	71046292	BAS GY	91,0000
10/05/2018	10/05/2018	10/05/2018	0,69	In Cash	Dividend (01)		EUR	71046293	ADS GY	91,0000
10/05/2018	10/05/2018	10/05/2018	5,14	In Cash	Dividend (01)		EUR	71046295	ALV GY	91,0000
10/05/2018	10/05/2018	10/05/2018	0,96	In Cash	Dividend (01)		EUR	71046294	EOAN GY	91,0000
11/05/2018	11/05/2018	11/05/2018	5,06	In Cash	Dividend (01)		EUR	71046296	SAN FP	89,8750
18/05/2018	18/05/2018	18/05/2018	1,88	In Cash	Dividend (01)		EUR	71046297	BMW GY	91,0000
18/05/2018	18/05/2018	18/05/2018	3,08	In Cash	Dividend (01)		EUR	71046298	DTE GY	91,0000
18/05/2018	18/05/2018	18/05/2018	2,21	In Cash	Dividend (01)		EUR	71046299	SAP GY	91,0000
21/05/2018	21/05/2018	21/05/2018	2,61	In Cash	Dividend (01)		EUR	71046301	ISP IM	88,0000
21/05/2018	21/05/2018	21/05/2018	1,70	In Cash	Dividend (01)		EUR	71046300	ISP IM	88,0000
21/05/2018	21/05/2018	21/05/2018	1,48	In Cash	Dividend (01)		EUR	71046302	ENI IM	88,0000
22/05/2018	22/05/2018	22/05/2018	0,45	In Cash	Dividend (01)		EUR	71046303	FRE GY	91,5000
22/05/2018	22/05/2018	22/05/2018	0,94	In Cash	Dividend (01)		EUR	71046304	ENGI FP	91,5000
25/05/2018	25/05/2018	25/05/2018	0,30	In Cash	Dividend (01)		EUR	71046305	DBK GY	91,0000
